recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity
TAZ,595,44.74279821980,-93.22792513680,44.974573,-93.27035,"44.7427982198, -93.2279251368","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,596,44.73803201950,-93.23279409240,44.974573,-93.27035,"44.7380320195, -93.2327940924","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,597,44.74169054700,-93.24357684200,44.974573,-93.27035,"44.741690547, -93.243576842","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,598,44.74545975780,-93.25291230810,44.974573,-93.27035,"44.7454597578, -93.2529123081","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,599,44.76575870730,-93.23064732990,44.974573,-93.27035,"44.7657587073, -93.2306473299","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,600,44.76016374620,-93.22883529690,44.974573,-93.27035,"44.7601637462, -93.2288352969","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,601,44.75209854330,-93.22921626770,44.974573,-93.27035,"44.7520985433, -93.2292162677","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,602,44.75314678810,-93.21258476140,44.974573,-93.27035,"44.7531467881, -93.2125847614","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,603,44.75396915810,-93.19675675910,44.974573,-93.27035,"44.7539691581, -93.1967567591","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,604,44.75089263640,-93.18244079680,44.974573,-93.27035,"44.7508926364, -93.1824407968","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,605,44.76059455690,-93.17608801440,44.974573,-93.27035,"44.7605945569, -93.1760880144","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,606,44.75253972610,-93.16597841120,44.974573,-93.27035,"44.7525397261, -93.1659784112","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,607,44.73915907480,-93.16662055980,44.974573,-93.27035,"44.7391590748, -93.1666205598","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,608,44.73921874140,-93.18195315480,44.974573,-93.27035,"44.7392187414, -93.1819531548","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,609,44.73868405840,-93.19182883150,44.974573,-93.27035,"44.7386840584, -93.1918288315","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,610,44.73965040840,-93.20187533070,44.974573,-93.27035,"44.7396504084, -93.2018753307","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,611,44.73916033890,-93.21258547140,44.974573,-93.27035,"44.7391603389, -93.2125854714","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,612,44.72964162150,-93.21235375090,44.974573,-93.27035,"44.7296416215, -93.2123537509","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,613,44.72480854430,-93.21329058010,44.974573,-93.27035,"44.7248085443, -93.2132905801","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,614,44.71991006300,-93.21215173910,44.974573,-93.27035,"44.719910063, -93.2121517391","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,615,44.71993680180,-93.20282632850,44.974573,-93.27035,"44.7199368018, -93.2028263285","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,616,44.72469390140,-93.20222349520,44.974573,-93.27035,"44.7246939014, -93.2022234952","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
