TCode,Name,destCity,Final_Arrival,Initial_Departure,Total_Trip_Duration_mins,Duration (sec),Direction
T010,Como & Eustis,Minneapolis,7:31am,6:58am,33.0,83.0,Walk to Como Ave & Eustis St
T010,Como & Eustis,Minneapolis,7:31am,6:58am,33.0,780.0,Bus towards Westbound 3 Dwtn Mpls / Target Field
T010,Como & Eustis,Minneapolis,7:31am,6:58am,33.0,113.0,Walk to Cedar Ave S & Washington Ave (15th Ave)
T010,Como & Eustis,Minneapolis,7:31am,6:58am,33.0,540.0,Bus towards Northbound 22C N Lyndale/Via Dupont-57/Brklyn Ctr T
T010,Como & Eustis,Minneapolis,7:31am,6:58am,33.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T028,Normandale Village,Minneapolis,7:40am,7:00am,40.0,21.0,Walk to Normandale Village & P&R
T028,Normandale Village,Minneapolis,7:40am,7:00am,40.0,2340.0,Bus towards Northbound 589 Express / Minneapolis
T028,Normandale Village,Minneapolis,7:40am,7:00am,40.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T032,St. Edward's Catholic Church,Minneapolis,7:40am,7:06am,34.0,20.0,Walk to 94th St W & St Edward Church P&R
T032,St. Edward's Catholic Church,Minneapolis,7:40am,7:06am,34.0,1980.0,Bus towards Northbound 589 Express / Minneapolis
T032,St. Edward's Catholic Church,Minneapolis,7:40am,7:06am,34.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T040,Co Rd 73 & I-394 South,Minneapolis,7:44am,7:21am,23.0,204.0,Walk to Co Rd 73 P&R & A Bay
T040,Co Rd 73 & I-394 South,Minneapolis,7:44am,7:21am,23.0,1140.0,Bus towards Eastbound 673 Express / Downtown
T040,Co Rd 73 & I-394 South,Minneapolis,7:44am,7:21am,23.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:43am,7:13am,30.0,84.0,Walk to Minnetonka Blvd & Baker Rd (Co Rd 60)
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:43am,7:13am,30.0,1680.0,Bus towards Eastbound 671 Express / Downtown
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:43am,7:13am,30.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T043,Minnetonka Blvd & Steele St,Minneapolis,7:43am,7:09am,34.0,29.0,Walk to Minnetonka Blvd & Steele St P&R
T043,Minnetonka Blvd & Steele St,Minneapolis,7:43am,7:09am,34.0,1980.0,Bus towards Eastbound 671 Express / Downtown
T043,Minnetonka Blvd & Steele St,Minneapolis,7:43am,7:09am,34.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T057,Excelsior City Hall,Minneapolis,7:43am,6:50am,53.0,119.0,Walk to Water St & 2nd St
T057,Excelsior City Hall,Minneapolis,7:43am,6:50am,53.0,3060.0,Bus towards Eastbound 671 Express / Downtown
T057,Excelsior City Hall,Minneapolis,7:43am,6:50am,53.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T081,Westwood Lutheran Church,Minneapolis,7:32am,7:03am,29.0,8.0,Walk to Cedar Lake Rd & Westwood Church P&R
T081,Westwood Lutheran Church,Minneapolis,7:32am,7:03am,29.0,1440.0,Bus towards Eastbound 663 Express / Downtown
T081,Westwood Lutheran Church,Minneapolis,7:32am,7:03am,29.0,278.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71.0,23.0,Walk to Little Canada Rd & McMenemy St
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71.0,1680.0,Bus towards Southbound 71A Downtown / Chester St
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71.0,91.0,Walk to 6th St & Jackson / Robert
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71.0,1380.0,Bus towards Westbound 94 Express / Downtown / Minneapolis
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T098,Salem Covenant Church,Minneapolis,7:42am,7:06am,36.0,19.0,Walk to Silver Lake Rd & 5th St NW
T098,Salem Covenant Church,Minneapolis,7:42am,7:06am,36.0,1920.0,Bus towards Southbound 825 Ltd Stop / Downtown
T098,Salem Covenant Church,Minneapolis,7:42am,7:06am,36.0,150.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:26am,7:01am,25.0,175.0,Walk to 42nd Ave N & Welcome Ave / Hwy 100
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:26am,7:01am,25.0,1020.0,Bus towards Southbound 764 Express / Downtown
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:26am,7:01am,25.0,286.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
