TCode,Name,destCity,Final_Arrival,Initial_Departure,Total_Trip_Duration_mins,Duration (sec),Direction
T010,Como & Eustis,Minneapolis,7:58am,7:23am,35.0,83.0,Walk to Como Ave & Eustis St
T010,Como & Eustis,Minneapolis,7:58am,7:23am,35.0,1380.0,Bus towards Westbound 3 Dwtn Mpls / Target Field
T010,Como & Eustis,Minneapolis,7:58am,7:23am,35.0,60.0,Walk to Marquette Ave & 3rd St - Stop Group C
T010,Como & Eustis,Minneapolis,7:58am,7:23am,35.0,180.0,Bus towards 465 Burnsville Station
T010,Como & Eustis,Minneapolis,7:58am,7:23am,35.0,167.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T028,Normandale Village,Minneapolis,7:46am,7:02am,44.0,21.0,Walk to Normandale Village & P&R
T028,Normandale Village,Minneapolis,7:46am,7:02am,44.0,2580.0,Bus towards Northbound 597 Express / Minneapolis
T028,Normandale Village,Minneapolis,7:46am,7:02am,44.0,38.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T032,St. Edward's Catholic Church,Minneapolis,7:40am,7:06am,34.0,20.0,Walk to 94th St W & St Edward Church P&R
T032,St. Edward's Catholic Church,Minneapolis,7:40am,7:06am,34.0,1980.0,Bus towards Northbound 589 Express / Minneapolis
T032,St. Edward's Catholic Church,Minneapolis,7:40am,7:06am,34.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T040,Co Rd 73 & I-394 South,Minneapolis,7:54am,7:30am,24.0,204.0,Walk to Co Rd 73 P&R & A Bay
T040,Co Rd 73 & I-394 South,Minneapolis,7:54am,7:30am,24.0,1200.0,Bus towards Eastbound 673 Express / Downtown
T040,Co Rd 73 & I-394 South,Minneapolis,7:54am,7:30am,24.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:43am,7:13am,30.0,84.0,Walk to Minnetonka Blvd & Baker Rd (Co Rd 60)
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:43am,7:13am,30.0,1680.0,Bus towards Eastbound 671 Express / Downtown
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:43am,7:13am,30.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T043,Minnetonka Blvd & Steele St,Minneapolis,7:43am,7:09am,34.0,29.0,Walk to Minnetonka Blvd & Steele St P&R
T043,Minnetonka Blvd & Steele St,Minneapolis,7:43am,7:09am,34.0,1980.0,Bus towards Eastbound 671 Express / Downtown
T043,Minnetonka Blvd & Steele St,Minneapolis,7:43am,7:09am,34.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T057,Excelsior City Hall,Minneapolis,7:43am,6:50am,53.0,119.0,Walk to Water St & 2nd St
T057,Excelsior City Hall,Minneapolis,7:43am,6:50am,53.0,3060.0,Bus towards Eastbound 671 Express / Downtown
T057,Excelsior City Hall,Minneapolis,7:43am,6:50am,53.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T081,Westwood Lutheran Church,Minneapolis,7:47am,7:18am,29.0,8.0,Walk to Cedar Lake Rd & Westwood Church P&R
T081,Westwood Lutheran Church,Minneapolis,7:47am,7:18am,29.0,1440.0,Bus towards Eastbound 663 Express / Downtown
T081,Westwood Lutheran Church,Minneapolis,7:47am,7:18am,29.0,278.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T082,Little Canada Municipal Lot,Minneapolis,7:45am,6:42am,63.0,23.0,Walk to Little Canada Rd & McMenemy St
T082,Little Canada Municipal Lot,Minneapolis,7:45am,6:42am,63.0,1740.0,Bus towards Southbound 71D Concord / Inver Hills / Via Hardman
T082,Little Canada Municipal Lot,Minneapolis,7:45am,6:42am,63.0,91.0,Walk to 6th St & Jackson / Robert
T082,Little Canada Municipal Lot,Minneapolis,7:45am,6:42am,63.0,1440.0,Bus towards Westbound 94 Express / Downtown / Minneapolis
T082,Little Canada Municipal Lot,Minneapolis,7:45am,6:42am,63.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T098,Salem Covenant Church,Minneapolis,7:58am,7:21am,37.0,19.0,Walk to Silver Lake Rd & 5th St NW
T098,Salem Covenant Church,Minneapolis,7:58am,7:21am,37.0,1980.0,Bus towards Southbound 825 Ltd Stop / Downtown
T098,Salem Covenant Church,Minneapolis,7:58am,7:21am,37.0,150.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:51am,7:25am,26.0,175.0,Walk to 42nd Ave N & Welcome Ave / Hwy 100
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:51am,7:25am,26.0,1080.0,Bus towards Southbound 764 Express / Downtown
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:51am,7:25am,26.0,286.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T114,Navarre Center,Minneapolis,7:47am,7:12am,35.0,81.0,Walk to Shoreline Dr (Co Rd 15) & #3465
T114,Navarre Center,Minneapolis,7:47am,7:12am,35.0,1980.0,Bus towards Eastbound 677 Express/Minneapolis/Hwy 12 Bypass
T114,Navarre Center,Minneapolis,7:47am,7:12am,35.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T130,Wayzata Blvd & Barry Ave,Minneapolis,7:44am,7:18am,26.0,38.0,Walk to Wayzata Blvd P&R & Gate B
T130,Wayzata Blvd & Barry Ave,Minneapolis,7:44am,7:18am,26.0,1500.0,Bus towards Eastbound 674 Express / Downtown
T130,Wayzata Blvd & Barry Ave,Minneapolis,7:44am,7:18am,26.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T140,Mermaid Supper Club,Minneapolis,7:40am,7:09am,31.0,238.0,Walk to Co Rd H P&R & Mounds View Blvd / I-35W
T140,Mermaid Supper Club,Minneapolis,7:40am,7:09am,31.0,1500.0,Bus towards Southbound 250 Express / Co Rd H P&R / Downtown
T140,Mermaid Supper Club,Minneapolis,7:40am,7:09am,31.0,167.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T142,West River Rd & 117th Ave,Minneapolis,7:57am,7:14am,43.0,102.0,Walk to West River Rd & 117th Ave P&R
T142,West River Rd & 117th Ave,Minneapolis,7:57am,7:14am,43.0,2340.0,Bus towards Southbound 766 Express / Downtown / Via W River Rd
T142,West River Rd & 117th Ave,Minneapolis,7:57am,7:14am,43.0,113.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T143,Zachary Square,Minneapolis,7:53am,7:17am,36.0,2040.0,Bus towards Southbound 782 Trip 4 / Maple Grove / To Mpls
T143,Zachary Square,Minneapolis,7:53am,7:17am,36.0,113.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T145,Christ Episcopal Church,Minneapolis,7:53am,7:01am,52.0,500.0,Walk to Woodbury Theatre & P&R - Leave
T145,Christ Episcopal Church,Minneapolis,7:53am,7:01am,52.0,2460.0,Bus towards Westbound 355 Express / Minneapolis
T145,Christ Episcopal Church,Minneapolis,7:53am,7:01am,52.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T152,Blackhawk,Minneapolis,7:48am,7:13am,35.0,35.0,Walk to Blackhawk Park & Ride
T152,Blackhawk,Minneapolis,7:48am,7:13am,35.0,2040.0,Bus towards 472 Minneapolis
T152,Blackhawk,Minneapolis,7:48am,7:13am,35.0,49.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T155,Church of Nazarene,Minneapolis,7:59am,7:34am,25.0,195.0,Walk to Hwy 252 & 73rd Ave N
T155,Church of Nazarene,Minneapolis,7:59am,7:34am,25.0,1140.0,Bus towards Southbound 768 Express / Downtown
T155,Church of Nazarene,Minneapolis,7:59am,7:34am,25.0,113.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T158,Hwy 7 & Texas Ave,Minneapolis,7:48am,7:17am,31.0,207.0,Walk to Texas Ave S & Walker St (36th St)
T158,Hwy 7 & Texas Ave,Minneapolis,7:48am,7:17am,31.0,1620.0,Bus towards Eastbound 667 Express / Downtown
T158,Hwy 7 & Texas Ave,Minneapolis,7:48am,7:17am,31.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T161,I-35W & Co Rd H,Minneapolis,7:40am,7:13am,27.0,1500.0,Bus towards Southbound 250 Express / Co Rd H P&R / Downtown
T161,I-35W & Co Rd H,Minneapolis,7:40am,7:13am,27.0,167.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T173,Hwy 61 & Lower Afton Rd,Minneapolis,7:53am,7:13am,40.0,200.0,Walk to Hwy 61 & Lower Afton P&R
T173,Hwy 61 & Lower Afton Rd,Minneapolis,7:53am,7:13am,40.0,1980.0,Bus towards Northbound 365 Express / Minneapolis
T173,Hwy 61 & Lower Afton Rd,Minneapolis,7:53am,7:13am,40.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T177,Shepherd of the Grove Church,Minneapolis,7:43am,7:12am,31.0,68.0,Walk to Eagle Lake Rd & Shepherd of the Grove P&R
T177,Shepherd of the Grove Church,Minneapolis,7:43am,7:12am,31.0,1680.0,Bus towards Southbound 780 Trip 3/Maple Grove/To Mpls
T177,Shepherd of the Grove Church,Minneapolis,7:43am,7:12am,31.0,113.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T180,General Mills Blvd & I-394,Minneapolis,7:49am,7:29am,20.0,30.0,Walk to Interstate 394 En & Gen Mills Blvd P&R
T180,General Mills Blvd & I-394,Minneapolis,7:49am,7:29am,20.0,1140.0,Bus towards Southbound 756 Downtown / Express
T180,General Mills Blvd & I-394,Minneapolis,7:49am,7:29am,20.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T187,St. Joseph's Church,Minneapolis,7:49am,6:58am,51.0,26.0,Walk to St Josephs P&R & #171 Elm St
T187,St. Joseph's Church,Minneapolis,7:49am,6:58am,51.0,2880.0,Bus towards Southbound 250 Express / Downtown
T187,St. Joseph's Church,Minneapolis,7:49am,6:58am,51.0,167.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T191,Shoreview Community Center,Minneapolis,7:47am,6:55am,52.0,142.0,Walk to Shoreview Community Center & Victoria Dr
T191,Shoreview Community Center,Minneapolis,7:47am,6:55am,52.0,2820.0,Bus towards Southbound 261 Express / Dwtn Mpls
T191,Shoreview Community Center,Minneapolis,7:47am,6:55am,52.0,167.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T195,Park Place & I-394,Minneapolis,7:53am,7:36am,17.0,100.0,Walk to Wayzata Blvd S & Park Place Blvd
T195,Park Place & I-394,Minneapolis,7:53am,7:36am,17.0,840.0,Bus towards Eastbound 645 Ltd Stop / Minneapolis
T195,Park Place & I-394,Minneapolis,7:53am,7:36am,17.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T198,Palomino Hills,Minneapolis,7:47am,7:13am,34.0,4.0,Walk to Pennock Av at Palomino Hills E corner
T198,Palomino Hills,Minneapolis,7:47am,7:13am,34.0,1980.0,Bus towards 476 Minneapolis
T198,Palomino Hills,Minneapolis,7:47am,7:13am,34.0,49.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T199,St. Luke's Lutheran Church,Minneapolis,7:56am,7:23am,33.0,143.0,Walk to Old Shakopee Rd & St Lukes P&R
T199,St. Luke's Lutheran Church,Minneapolis,7:56am,7:23am,33.0,1800.0,Bus towards Northbound 597 Express / Minneapolis
T199,St. Luke's Lutheran Church,Minneapolis,7:56am,7:23am,33.0,38.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T201,Richardson Park,Minneapolis,7:57am,7:07am,50.0,2880.0,Bus towards Southbound 766 Express / Downtown / Via W River Rd
T201,Richardson Park,Minneapolis,7:57am,7:07am,50.0,113.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T204,Foley Blvd,Minneapolis,7:59am,7:26am,33.0,144.0,Walk to Foley P&R Arrive & Evergreen Blvd
T204,Foley Blvd,Minneapolis,7:59am,7:26am,33.0,1680.0,Bus towards Southbound 850 Express / Foley P&R / Dntn Mpls
T204,Foley Blvd,Minneapolis,7:59am,7:26am,33.0,176.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T205,Hwy 61 & Co Rd C,Minneapolis,7:51am,7:16am,35.0,2.0,Walk to Maplewood Dr & Hwy 61 - Co Rd C P&R
T205,Hwy 61 & Co Rd C,Minneapolis,7:51am,7:16am,35.0,1920.0,Bus towards Westbound 270 Express / Minneapolis / Via Co Rd C
T205,Hwy 61 & Co Rd C,Minneapolis,7:51am,7:16am,35.0,167.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T209,Hwy 7 & Vinehill Rd,Minneapolis,7:42am,6:51am,51.0,35.0,Walk to Delton Ave & Vine Hill Rd P&R
T209,Hwy 7 & Vinehill Rd,Minneapolis,7:42am,6:51am,51.0,3000.0,Bus towards Eastbound 670 Express/Dt Mpls
T209,Hwy 7 & Vinehill Rd,Minneapolis,7:42am,6:51am,51.0,7.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T210,65th Ave & Brooklyn Blvd,Minneapolis,7:55am,7:32am,23.0,20.0,Walk to Brooklyn Blvd P&R & 65th Ave N
T210,65th Ave & Brooklyn Blvd,Minneapolis,7:55am,7:32am,23.0,1200.0,Bus towards Southbound 760 Express / Downtown
T210,65th Ave & Brooklyn Blvd,Minneapolis,7:55am,7:32am,23.0,113.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T215,Crosswinds Methodist Church,Minneapolis,7:49am,7:14am,35.0,25.0,Walk to Crosswinds P&R & Weaver Lake Rd
T215,Crosswinds Methodist Church,Minneapolis,7:49am,7:14am,35.0,1920.0,Bus towards Southbound 783 Trip 4 / Maple Grove / To Mpls
T215,Crosswinds Methodist Church,Minneapolis,7:49am,7:14am,35.0,113.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T217,I-35W & 95th Ave,Minneapolis,7:54am,7:19am,35.0,76.0,Walk to 95th Ave P&R
T217,I-35W & 95th Ave,Minneapolis,7:54am,7:19am,35.0,1860.0,Bus towards Southbound 250 Express / Downtown
T217,I-35W & 95th Ave,Minneapolis,7:54am,7:19am,35.0,167.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T219,West St Paul Sports Complex,Minneapolis,7:44am,7:09am,35.0,97.0,Walk to Oakdale Ave & Wentworth Ave
T219,West St Paul Sports Complex,Minneapolis,7:44am,7:09am,35.0,1860.0,Bus towards Westbound 452 Express / Minneapolis
T219,West St Paul Sports Complex,Minneapolis,7:44am,7:09am,35.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T222,Woodbury Lutheran Church,Minneapolis,7:53am,7:00am,53.0,564.0,Walk to Woodbury Theatre & P&R - Leave
T222,Woodbury Lutheran Church,Minneapolis,7:53am,7:00am,53.0,2460.0,Bus towards Westbound 355 Express / Minneapolis
T222,Woodbury Lutheran Church,Minneapolis,7:53am,7:00am,53.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T223,St Croix Valley Recreation Center,Minneapolis,7:45am,6:32am,73.0,41.0,Walk to St Croix Rec Center & P&R Shelter
T223,St Croix Valley Recreation Center,Minneapolis,7:45am,6:32am,73.0,2340.0,Bus towards Westbound 294 Express / St Paul
T223,St Croix Valley Recreation Center,Minneapolis,7:45am,6:32am,73.0,1440.0,Bus towards Westbound 94 Express / Downtown / Minneapolis
T223,St Croix Valley Recreation Center,Minneapolis,7:45am,6:32am,73.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T228,Hwy 610 & Noble,Minneapolis,7:59am,7:24am,35.0,250.0,Walk to Hwy 610 Noble Pkwy P&R Arrive & 95th Ave N
T228,Hwy 610 & Noble,Minneapolis,7:59am,7:24am,35.0,1680.0,Bus towards Southbound 768 Express / Downtown
T228,Hwy 610 & Noble,Minneapolis,7:59am,7:24am,35.0,113.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T229,Woodbury Theatre,Minneapolis,7:53am,7:09am,44.0,40.0,Walk to Woodbury Theatre & P&R - Leave
T229,Woodbury Theatre,Minneapolis,7:53am,7:09am,44.0,2460.0,Bus towards Westbound 355 Express / Minneapolis
T229,Woodbury Theatre,Minneapolis,7:53am,7:09am,44.0,151.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T230,Preserve Village Mall,Minneapolis,7:53am,6:58am,55.0,73.0,Walk to Hennepin Town Rd & Preserve Village Mall
T230,Preserve Village Mall,Minneapolis,7:53am,6:58am,55.0,3120.0,Bus towards Eastbound 690P Express/And Lk/Pres P&R/SW Sta/Mpls
T230,Preserve Village Mall,Minneapolis,7:53am,6:58am,55.0,87.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T231,Coon Rapids/Riverdale Station,Minneapolis,7:55am,6:53am,62.0,137.0,Walk to Coon Rapids Riverdale Station & Gate A
T231,Coon Rapids/Riverdale Station,Minneapolis,7:55am,6:53am,62.0,3420.0,Bus towards Southbound 850 Express / Foley P&R / Dntn Mpls
T231,Coon Rapids/Riverdale Station,Minneapolis,7:55am,6:53am,62.0,176.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T232,Co Rd 42 & Huntington,Minneapolis,7:52am,7:08am,44.0,92.0,Walk to Savage Park & Ride
T232,Co Rd 42 & Huntington,Minneapolis,7:52am,7:08am,44.0,2520.0,Bus towards 464 MINNEAPOLIS via HOC
T232,Co Rd 42 & Huntington,Minneapolis,7:52am,7:08am,44.0,49.0,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
