TCode,Name,PnRNum,ox,oy,dx,dy,arriveTime,tripDate,destCity
T258,Heart of the City,258,44.7728,-93.2794,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T261,Knox Avenue at Best Buy,261,44.8624,-93.3039,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T262,Guardian Angels Catholic Church,262,44.951,-92.9384,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T266,Church of St. William,266,45.0792,-93.262,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T268,63rd Ave & Bottineau Blvd,268,45.0704,-93.3701,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T269,Hwy 252 & 66th Ave,269,45.0733,-93.2879,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T271,Grace Church,271,45.0125,-93.1562,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T272,Skating Center,272,45.0211,-93.1498,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T278,Southbridge Crossing,278,44.7797,-93.4083,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T284,Ramsey Station,284,45.2325,-93.4612,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T285,St Andrew Lutheran Church,285,44.8585,-93.45,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T287,I-35 & Kenrick Ave,287,44.7065,-93.2842,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T290,I-35W & Co Rd C,290,45.0239,-93.1856,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T291,Nathan Lane,291,45.0364,-93.4094,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T292,SouthWest Village,292,44.8422,-93.5375,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T293,Running Aces,293,45.2466,-93.0329,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T294,Forest Lake Transit Center,294,45.2395,-92.9856,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T297,East Creek Station,297,44.8139,-93.6041,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T298,Anoka Station,298,45.2072,-93.3845,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T299,Fridley Station,299,45.0788,-93.271,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T300,Big Lake Station,300,45.3296,-93.731,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T301,Parkway Station,301,45.1323,-93.4758,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T302,Hwy 36 & Rice St,302,45.0069,-93.1049,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T303,Maple Plain,303,45.0047,-93.6466,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T304,I-35E & County Road 14,304,45.1667,-93.0349,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T305,I-35E & County Road E,305,45.0484,-93.061,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T306,Chanhassen Transit Station,306,44.8609,-93.5338,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T309,Hopkins Park-and-Ride,309,44.921,-93.4095,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T312,Carver Station,312,44.7688,-93.6438,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T313,Newport Transit Station,313,44.8819,-93.0059,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T315,Paul Parkway,315,45.1899,-93.2378,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T316,Marschall Road Transit Station,316,44.7765,-93.5066,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T317,Dunkirk Park & Ride,317,45.0244,-93.4904,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T318,Carmike Cinema,318,44.7231,-93.2167,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T534,Becker Municipal Lot,534,45.3926,-93.8761,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T564,Northstar Link Lot,564,45.5541,-94.1254,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T701,Maplewood Mall Transit Center,701,45.029,-93.0247,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T703,Northtown Transit Center,703,45.1269,-93.2649,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T704,Louisiana Ave Transit Center,704,44.9706,-93.3713,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T705,Plymouth Road Park & Ride,705,44.9717,-93.4467,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T706,Southdale Transit Center,706,44.8818,-93.3223,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T707,South Bloomington Transit Center,707,44.8254,-93.2904,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T710,Burnsville Transit Station,710,44.7788,-93.2772,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T711,Eagan Transit Station,711,44.8326,-93.1662,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T712,Apple Valley Transit Station,712,44.7253,-93.2166,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T713,SouthWest Station,713,44.8597,-93.4426,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T714,Station 73,714,44.9871,-93.4188,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T715,Mound Transit Center,715,44.9375,-93.6648,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T716,157th St Station,716,44.72,-93.178,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T718,Cedar Grove Transit Station,718,44.8118,-93.2184,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T719,Lakeville Cedar,719,44.6881,-93.2161,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T721,Rosemount Transit Station,721,44.7389,-93.1237,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
