,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
11700_0,0,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,51742.0,2392.0,447.0,170th St N and I-35E S,2404.0,51.0,"{'lat': 45.19419600000001, 'lng': -92.786756}",Head north on Jackson Cir,"{'lat': 45.1916109, 'lng': -92.7850133}"
11700_0,1,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,787.0,,,86.0,"{'lat': 45.1992898, 'lng': -92.7907517}",Turn right onto Broadway St,"{'lat': 45.19419600000001, 'lng': -92.786756}"
11700_0,2,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,2095.0,,,186.0,"{'lat': 45.1961538, 'lng': -92.8155889}",Turn left onto Old Guslander Trail N,"{'lat': 45.1992898, 'lng': -92.7907517}"
11700_0,3,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,13114.0,,,562.0,"{'lat': 45.1961434, 'lng': -92.9821446}",Turn left onto 170th St N,"{'lat': 45.1961538, 'lng': -92.8155889}"
11700_0,4,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,2991.0,,,129.0,"{'lat': 45.19642109999999, 'lng': -93.02001399999999}","At the traffic circle, take the 2nd exit and stay on 170th St N","{'lat': 45.1961434, 'lng': -92.9821446}"
11700_0,5,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1621.0,,,79.0,"{'lat': 45.1965109, 'lng': -93.040696}",Continue onto 80th St E,"{'lat': 45.19642109999999, 'lng': -93.02001399999999}"
11700_0,6,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,3626.0,,,176.0,"{'lat': 45.16390940000001, 'lng': -93.0408774}",Turn left onto 20th Ave N,"{'lat': 45.1965109, 'lng': -93.040696}"
11700_0,7,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,665.0,,,60.0,"{'lat': 45.1639838, 'lng': -93.03257730000001}",Turn left onto Main St,"{'lat': 45.16390940000001, 'lng': -93.0408774}"
11700_0,8,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1005.0,,,49.0,"{'lat': 45.15511780000001, 'lng': -93.0316057}",Turn right onto the St Paul ramp,"{'lat': 45.1639838, 'lng': -93.03257730000001}"
11700_0,9,5366,TAZ,2306,45.19144908770001,-92.78359503360001,44.948164,-93.09143399999999,"[45.19144908770001, -92.78359503360001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,15224.0,,,489.0,"{'lat': 45.0354544, 'lng': -93.0851797}",Merge onto I-35E S,"{'lat': 45.15511780000001, 'lng': -93.0316057}"
