,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
12100_0,0,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,95180.0,3877.0,411.0,US-212 E,4214.0,30.0,"{'lat': 44.746392, 'lng': -94.071328}",Head north on Cable Ave toward 90th St,"{'lat': 44.7426951, 'lng': -94.0713372}"
12100_0,1,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1614.0,,,123.0,"{'lat': 44.746252, 'lng': -94.05088599999999}",Turn right onto 90th St,"{'lat': 44.746392, 'lng': -94.071328}"
12100_0,2,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,2410.0,,,140.0,"{'lat': 44.7679202, 'lng': -94.0506724}",Turn left onto Babcock Ave,"{'lat': 44.746252, 'lng': -94.05088599999999}"
12100_0,3,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,53847.0,,,1932.0,"{'lat': 44.8636822, 'lng': -93.43600359999999}",Turn right onto US-212 E,"{'lat': 44.7679202, 'lng': -94.0506724}"
12100_0,4,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,17250.0,,,671.0,"{'lat': 44.8621777, 'lng': -93.219674}",Take the exit onto I-494 E/MN-5 E,"{'lat': 44.8636822, 'lng': -93.43600359999999}"
12100_0,5,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,5054.0,,,176.0,"{'lat': 44.861154, 'lng': -93.15568739999999}",Keep left at the fork to continue on I-494 E,"{'lat': 44.8621777, 'lng': -93.219674}"
12100_0,6,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,898.0,,,37.0,"{'lat': 44.8623974, 'lng': -93.144662}",Take exit 70 for I-35E N toward St Paul,"{'lat': 44.861154, 'lng': -93.15568739999999}"
12100_0,7,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,504.0,,,31.0,"{'lat': 44.8632172, 'lng': -93.14472219999999}","Keep right at the fork, follow signs for Interstate 35 E North/St Paul","{'lat': 44.8623974, 'lng': -93.144662}"
12100_0,8,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,11660.0,,,475.0,"{'lat': 44.9464655, 'lng': -93.1046776}",Keep left at the fork and merge onto I-35E N,"{'lat': 44.8632172, 'lng': -93.14472219999999}"
12100_0,9,5766,TAZ,2706,44.7426944683,-94.0709957389,44.948164,-93.09143399999999,"[44.7426944683, -94.0709957389]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,531.0,,,40.0,"{'lat': 44.9499675, 'lng': -93.1002795}",Take exit 106C for 11th St toward State Capitol,"{'lat': 44.9464655, 'lng': -93.1046776}"
