,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
14600_0,0,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,14714.0,939.0,399.0,I-94 W,1119.0,59.0,"{'lat': 44.96115409999999, 'lng': -93.1263396}",Head east on Blair Ave toward St Albans St N,"{'lat': 44.96116929999999, 'lng': -93.13141089999999}"
14600_0,1,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,1005.0,,,139.0,"{'lat': 44.9521362, 'lng': -93.1263804}",Turn right at the 2nd cross street onto Dale St N,"{'lat': 44.96115409999999, 'lng': -93.1263396}"
14600_0,2,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,65.0,,,8.0,"{'lat': 44.9521351, 'lng': -93.1272051}",Turn right onto St Anthony Ave,"{'lat': 44.9521362, 'lng': -93.1263804}"
14600_0,3,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,11575.0,,,481.0,"{'lat': 44.966035, 'lng': -93.2656607}",Slight left to merge onto I-94 W,"{'lat': 44.9521351, 'lng': -93.1272051}"
14600_0,4,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,712.0,,,54.0,"{'lat': 44.97025259999999, 'lng': -93.26945979999999}",Take exit 233A for 11th St,"{'lat': 44.966035, 'lng': -93.2656607}"
14600_0,5,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,75.0,,,12.0,"{'lat': 44.9707407, 'lng': -93.27011}",Merge onto E Grant St,"{'lat': 44.97025259999999, 'lng': -93.26945979999999}"
14600_0,6,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,111.0,,,23.0,"{'lat': 44.9712477, 'lng': -93.2713272}",Continue onto S 11th St,"{'lat': 44.9707407, 'lng': -93.27011}"
14600_0,7,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,500.0,,,86.0,"{'lat': 44.9751331, 'lng': -93.2681269}",Turn right onto 3rd Ave S,"{'lat': 44.9712477, 'lng': -93.2713272}"
14600_0,8,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,127.0,,,33.0,"{'lat': 44.97573999999999, 'lng': -93.269502}",Turn left onto S 7th St,"{'lat': 44.9751331, 'lng': -93.2681269}"
14600_0,9,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,145.0,,,44.0,"{'lat': 44.9746179, 'lng': -93.27044959999999}",Turn left at the 1st cross street onto 2nd Ave SDestination will be on the left,"{'lat': 44.97573999999999, 'lng': -93.269502}"
14600_1,0,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,14367.0,1065.0,395.0,W Pierce Butler Route and I-94 W,1276.0,53.0,"{'lat': 44.96472199999999, 'lng': -93.1314328}",Head north on Grotto St N toward Van Buren Ave,"{'lat': 44.9611695, 'lng': -93.1314408}"
14600_1,1,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,4020.0,,,259.0,"{'lat': 44.9687862, 'lng': -93.18127849999999}",Turn left onto W Pierce Butler Route,"{'lat': 44.96472199999999, 'lng': -93.1314328}"
14600_1,2,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,1265.0,,,102.0,"{'lat': 44.95991189999999, 'lng': -93.1872502}",Continue onto Transfer Rd,"{'lat': 44.9687862, 'lng': -93.18127849999999}"
14600_1,3,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,214.0,,,36.0,"{'lat': 44.9608594, 'lng': -93.1896173}",Turn right onto University Ave W,"{'lat': 44.95991189999999, 'lng': -93.1872502}"
14600_1,4,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,483.0,,,74.0,"{'lat': 44.9570365, 'lng': -93.1925134}",Turn left at the 1st cross street onto Vandalia St,"{'lat': 44.9608594, 'lng': -93.1896173}"
14600_1,5,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,88.0,,,9.0,"{'lat': 44.9569965, 'lng': -93.19347959999999}",Take the I-94 W ramp,"{'lat': 44.9570365, 'lng': -93.1925134}"
14600_1,6,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,6232.0,,,280.0,"{'lat': 44.966035, 'lng': -93.2656607}",Keep right at the fork and merge onto I-94 W,"{'lat': 44.9569965, 'lng': -93.19347959999999}"
14600_1,7,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,712.0,,,54.0,"{'lat': 44.97025259999999, 'lng': -93.26945979999999}",Take exit 233A for 11th St,"{'lat': 44.966035, 'lng': -93.2656607}"
14600_1,8,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,75.0,,,12.0,"{'lat': 44.9707407, 'lng': -93.27011}",Merge onto E Grant St,"{'lat': 44.97025259999999, 'lng': -93.26945979999999}"
14600_1,9,1932,TAZ,1933,44.961158341499996,-93.13141117290002,44.974573,-93.27035,"[44.961158341499996, -93.13141117290002]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,111.0,,,23.0,"{'lat': 44.9712477, 'lng': -93.2713272}",Continue onto S 11th St,"{'lat': 44.9707407, 'lng': -93.27011}"
