,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
11300_0,0,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,10774.0,785.0,265.0,I-94 E,640.0,32.0,"{'lat': 44.9645423, 'lng': -93.1924698}",Head south on N Hampden Ave toward W Territorial Rd,"{'lat': 44.9669282, 'lng': -93.19245699999999}"
11300_0,1,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,279.0,,,38.0,"{'lat': 44.9638515, 'lng': -93.1890672}",Turn left at the 1st cross street onto W Territorial Rd,"{'lat': 44.9645423, 'lng': -93.1924698}"
11300_0,2,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,998.0,,,170.0,"{'lat': 44.9554827, 'lng': -93.1925086}",Turn right onto Vandalia St,"{'lat': 44.9638515, 'lng': -93.1890672}"
11300_0,3,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,7919.0,,,334.0,"{'lat': 44.9530369, 'lng': -93.0947276}",Turn left to merge onto I-94 E,"{'lat': 44.9554827, 'lng': -93.1925086}"
11300_0,4,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,440.0,,,19.0,"{'lat': 44.9533266, 'lng': -93.0894333}","Keep right at the fork to stay on I-94 E, follow signs for US-10 E","{'lat': 44.9530369, 'lng': -93.0947276}"
11300_0,5,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,234.0,,,23.0,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}",Take exit 242C toward 7th St,"{'lat': 44.9533266, 'lng': -93.0894333}"
11300_0,6,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,150.0,,,44.0,"{'lat': 44.95061339999999, 'lng': -93.0865869}",Merge onto Wall St,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}"
11300_0,7,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,476.0,,,117.0,"{'lat': 44.9482234, 'lng': -93.09160589999999}",Turn right onto 6th St E,"{'lat': 44.95061339999999, 'lng': -93.0865869}"
11300_0,8,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,13.0,,,8.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.9482234, 'lng': -93.09160589999999}"
11300_1,0,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,10664.0,931.0,265.0,I-94 E and W Kellogg Blvd,732.0,32.0,"{'lat': 44.9645423, 'lng': -93.1924698}",Head south on N Hampden Ave toward W Territorial Rd,"{'lat': 44.9669282, 'lng': -93.19245699999999}"
11300_1,1,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,279.0,,,38.0,"{'lat': 44.9638515, 'lng': -93.1890672}",Turn left at the 1st cross street onto W Territorial Rd,"{'lat': 44.9645423, 'lng': -93.1924698}"
11300_1,2,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,998.0,,,170.0,"{'lat': 44.9554827, 'lng': -93.1925086}",Turn right onto Vandalia St,"{'lat': 44.9638515, 'lng': -93.1890672}"
11300_1,3,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,6236.0,,,267.0,"{'lat': 44.9509742, 'lng': -93.1144593}",Turn left to merge onto I-94 E,"{'lat': 44.9554827, 'lng': -93.1925086}"
11300_1,4,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1118.0,,,66.0,"{'lat': 44.9464641, 'lng': -93.10242749999999}",Take exit 241B for 5th St,"{'lat': 44.9509742, 'lng': -93.1144593}"
11300_1,5,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,69.0,,,13.0,"{'lat': 44.9460327, 'lng': -93.10179769999999}",Continue onto W 5th St,"{'lat': 44.9464641, 'lng': -93.10242749999999}"
11300_1,6,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,167.0,,,32.0,"{'lat': 44.94473199999999, 'lng': -93.10281049999999}",Turn right onto 7th St W/Fort Rd,"{'lat': 44.9460327, 'lng': -93.10179769999999}"
11300_1,7,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1086.0,,,160.0,"{'lat': 44.9450781, 'lng': -93.09037330000001}",Turn left onto W Kellogg Blvd,"{'lat': 44.94473199999999, 'lng': -93.10281049999999}"
11300_1,8,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,240.0,,,69.0,"{'lat': 44.946863, 'lng': -93.09207699999999}",Turn left onto N Minnesota St,"{'lat': 44.9450781, 'lng': -93.09037330000001}"
11300_1,9,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,115.0,,,41.0,"{'lat': 44.947443, 'lng': -93.0908682}",Turn right onto 5th St E,"{'lat': 44.946863, 'lng': -93.09207699999999}"
11300_1,10,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,91.0,,,43.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left at the 1st cross street onto Robert St NDestination will be on the right,"{'lat': 44.947443, 'lng': -93.0908682}"
11300_2,0,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,12494.0,1172.0,265.0,I-94 E and I-35E N,928.0,32.0,"{'lat': 44.9645423, 'lng': -93.1924698}",Head south on N Hampden Ave toward W Territorial Rd,"{'lat': 44.9669282, 'lng': -93.19245699999999}"
11300_2,1,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,279.0,,,38.0,"{'lat': 44.9638515, 'lng': -93.1890672}",Turn left at the 1st cross street onto W Territorial Rd,"{'lat': 44.9645423, 'lng': -93.1924698}"
11300_2,2,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,998.0,,,170.0,"{'lat': 44.9554827, 'lng': -93.1925086}",Turn right onto Vandalia St,"{'lat': 44.9638515, 'lng': -93.1890672}"
11300_2,3,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,3177.0,,,153.0,"{'lat': 44.95168930000001, 'lng': -93.15326499999999}",Turn left to merge onto I-94 E,"{'lat': 44.9554827, 'lng': -93.1925086}"
11300_2,4,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,410.0,,,24.0,"{'lat': 44.95121289999999, 'lng': -93.14812099999999}",Take exit 239B toward Lexington Pkwy,"{'lat': 44.95168930000001, 'lng': -93.15326499999999}"
11300_2,5,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,106.0,,,16.0,"{'lat': 44.9512582, 'lng': -93.1467697}",Merge onto Concordia Ave,"{'lat': 44.95121289999999, 'lng': -93.14812099999999}"
11300_2,6,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1901.0,,,220.0,"{'lat': 44.9341749, 'lng': -93.1465796}",Turn right onto Lexington Pkwy N,"{'lat': 44.9512582, 'lng': -93.1467697}"
11300_2,7,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1643.0,,,154.0,"{'lat': 44.9341041, 'lng': -93.1257088}",Turn left onto St Clair Ave,"{'lat': 44.9341749, 'lng': -93.1465796}"
11300_2,8,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,2183.0,,,103.0,"{'lat': 44.9464655, 'lng': -93.1046776}",Turn left to merge onto I-35E N,"{'lat': 44.9341041, 'lng': -93.1257088}"
11300_2,9,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,531.0,,,40.0,"{'lat': 44.9499675, 'lng': -93.1002795}",Take exit 106C for 11th St toward State Capitol,"{'lat': 44.9464655, 'lng': -93.1046776}"
11300_2,10,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,455.0,,,86.0,"{'lat': 44.9521728, 'lng': -93.0954332}",Continue onto E 11th St,"{'lat': 44.9499675, 'lng': -93.1002795}"
11300_2,11,4966,TAZ,1906,44.9669339637,-93.1913778577,44.948164,-93.09143399999999,"[44.9669339637, -93.1913778577]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,546.0,,,136.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn right onto Robert St NDestination will be on the left,"{'lat': 44.9521728, 'lng': -93.0954332}"
11301_3,0,4967,TAZ,1907,44.9696440117,-93.199679927,44.948164,-93.09143399999999,"[44.9696440117, -93.199679927]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,12142.0,826.0,89.0,I-94 E,695.0,15.0,"{'lat': 44.9703475, 'lng': -93.2003455}",Head north toward Pearl St,"{'lat': 44.969593, 'lng': -93.1999549}"
11301_3,1,4967,TAZ,1907,44.9696440117,-93.199679927,44.948164,-93.09143399999999,"[44.9696440117, -93.199679927]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,65.0,,,18.0,"{'lat': 44.9701883, 'lng': -93.20114219999999}",Turn left onto Pearl St,"{'lat': 44.9703475, 'lng': -93.2003455}"
11301_3,2,4967,TAZ,1907,44.9696440117,-93.199679927,44.948164,-93.09143399999999,"[44.9696440117, -93.199679927]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,290.0,,,53.0,"{'lat': 44.9726887, 'lng': -93.20061260000001}",Turn right at the 1st cross street onto Cromwell Ave,"{'lat': 44.9701883, 'lng': -93.20114219999999}"
11301_3,3,4967,TAZ,1907,44.9696440117,-93.199679927,44.948164,-93.09143399999999,"[44.9696440117, -93.199679927]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,38.0,,,14.0,"{'lat': 44.9729894, 'lng': -93.20085069999999}",Turn left onto Manvel St,"{'lat': 44.9726887, 'lng': -93.20061260000001}"
11301_3,4,4967,TAZ,1907,44.9696440117,-93.199679927,44.948164,-93.09143399999999,"[44.9696440117, -93.199679927]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,437.0,,,43.0,"{'lat': 44.96983729999999, 'lng': -93.20266699999999}",Turn left onto Robbins St,"{'lat': 44.9729894, 'lng': -93.20085069999999}"
