,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
4400_0,0,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,17084.0,991.0,72.0,I-94 E,1169.0,7.0,"{'lat': 44.967154, 'lng': -93.2744014}",Head south toward E 16th StRestricted usage road,"{'lat': 44.9678022, 'lng': -93.2744029}"
4400_0,1,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,156.0,,,33.0,"{'lat': 44.9671712, 'lng': -93.27241339999999}",Turn left onto E 16th St,"{'lat': 44.967154, 'lng': -93.2744014}"
4400_0,2,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,507.0,,,79.0,"{'lat': 44.9626922, 'lng': -93.27275379999999}",Turn right onto 3rd Ave S/Sharon Sayles Belton BridgeContinue to follow 3rd Ave S,"{'lat': 44.9671712, 'lng': -93.27241339999999}"
4400_0,3,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,298.0,,,66.0,"{'lat': 44.96269969999999, 'lng': -93.2689631}",Turn left onto E Franklin Ave,"{'lat': 44.9626922, 'lng': -93.27275379999999}"
4400_0,4,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,227.0,,,25.0,"{'lat': 44.96471529999999, 'lng': -93.2687267}",Turn left at the 3rd cross street onto S 5th Ave,"{'lat': 44.96269969999999, 'lng': -93.2689631}"
4400_0,5,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,14511.0,,,570.0,"{'lat': 44.9530369, 'lng': -93.0947276}","Keep right at the fork, follow signs for I-94 E/MN-55 E and merge onto I-94 E/MN-55 EContinue to follow I-94 E","{'lat': 44.96471529999999, 'lng': -93.2687267}"
4400_0,6,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,440.0,,,19.0,"{'lat': 44.9533266, 'lng': -93.0894333}","Keep right at the fork to stay on I-94 E, follow signs for US-10 E","{'lat': 44.9530369, 'lng': -93.0947276}"
4400_0,7,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,234.0,,,23.0,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}",Take exit 242C toward 7th St,"{'lat': 44.9533266, 'lng': -93.0894333}"
4400_0,8,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,150.0,,,44.0,"{'lat': 44.95061339999999, 'lng': -93.0865869}",Merge onto Wall St,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}"
4400_0,9,4400,TAZ,1340,44.968777187200004,-93.2741370579,44.948164,-93.09143399999999,"[44.968777187200004, -93.2741370579]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,476.0,,,117.0,"{'lat': 44.9482234, 'lng': -93.09160589999999}",Turn right onto 6th St E,"{'lat': 44.95061339999999, 'lng': -93.0865869}"
