,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
18400_0,0,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,84194.0,3472.0,694.0,I-94 E,4475.0,78.0,"{'lat': 45.2594788, 'lng': -93.84803889999999}",Head east on 75th St NE toward Cahill Ave NE,"{'lat': 45.259463, 'lng': -93.85690910000001}"
18400_0,1,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,802.0,,,62.0,"{'lat': 45.252265, 'lng': -93.8479555}",Turn right onto Cahill Ave NE,"{'lat': 45.2594788, 'lng': -93.84803889999999}"
18400_0,2,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,16996.0,,,839.0,"{'lat': 45.2376106, 'lng': -93.65015439999999}",Turn left onto County Rd 37 NE,"{'lat': 45.252265, 'lng': -93.8479555}"
18400_0,3,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,23256.0,,,758.0,"{'lat': 45.0944483, 'lng': -93.44920809999999}",Turn right to merge onto I-94 E toward Minneapolis/St Paul,"{'lat': 45.2376106, 'lng': -93.65015439999999}"
18400_0,4,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,10902.0,,,382.0,"{'lat': 45.0734556, 'lng': -93.3164266}",Keep left to stay on I-94 E,"{'lat': 45.0944483, 'lng': -93.44920809999999}"
18400_0,5,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,9961.0,,,348.0,"{'lat': 45.00159670000001, 'lng': -93.28282759999999}","Keep right at the fork to stay on I-94 E, follow signs for Minneapolis","{'lat': 45.0734556, 'lng': -93.3164266}"
18400_0,6,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,1888.0,,,68.0,"{'lat': 44.9858004, 'lng': -93.2885252}",Keep left to stay on I-94 E,"{'lat': 45.00159670000001, 'lng': -93.28282759999999}"
18400_0,7,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,18382.0,,,726.0,"{'lat': 44.9530369, 'lng': -93.0947276}",Keep left to stay on I-94 E,"{'lat': 44.9858004, 'lng': -93.2885252}"
18400_0,8,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,440.0,,,19.0,"{'lat': 44.9533266, 'lng': -93.0894333}","Keep right at the fork to stay on I-94 E, follow signs for US-10 E","{'lat': 44.9530369, 'lng': -93.0947276}"
18400_0,9,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,234.0,,,23.0,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}",Take exit 242C toward 7th St,"{'lat': 44.9533266, 'lng': -93.0894333}"
18400_0,10,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,150.0,,,44.0,"{'lat': 44.95061339999999, 'lng': -93.0865869}",Merge onto Wall St,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}"
18400_0,11,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,476.0,,,117.0,"{'lat': 44.9482234, 'lng': -93.09160589999999}",Turn right onto 6th St E,"{'lat': 44.95061339999999, 'lng': -93.0865869}"
18400_0,12,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,13.0,,,8.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.9482234, 'lng': -93.09160589999999}"
18400_1,0,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,84996.0,3422.0,694.0,MN-610,4378.0,78.0,"{'lat': 45.2594788, 'lng': -93.84803889999999}",Head east on 75th St NE toward Cahill Ave NE,"{'lat': 45.259463, 'lng': -93.85690910000001}"
18400_1,1,5732,TAZ,2672,45.2629624469,-93.85692234940001,44.948164,-93.09143399999999,"[45.2629624469, -93.85692234940001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,802.0,,,62.0,"{'lat': 45.252265, 'lng': -93.8479555}",Turn right onto Cahill Ave NE,"{'lat': 45.2594788, 'lng': -93.84803889999999}"
