,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
17700_0,0,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,7095.0,796.0,494.0,Phalen Blvd,792.0,63.0,"{'lat': 44.981151, 'lng': -93.0380086}",Head west on Ivy Ave E toward Germain St,"{'lat': 44.98112949999999, 'lng': -93.03172939999999}"
17700_0,1,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,446.0,,,55.0,"{'lat': 44.9775408, 'lng': -93.0404434}",Turn left onto Prosperity Ave,"{'lat': 44.981151, 'lng': -93.0380086}"
17700_0,2,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,3256.0,,,265.0,"{'lat': 44.9660484, 'lng': -93.0735521}",Continue onto Phalen Blvd,"{'lat': 44.9775408, 'lng': -93.0404434}"
17700_0,3,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,1270.0,,,140.0,"{'lat': 44.9559915, 'lng': -93.07814909999999}",Turn left onto Payne Ave,"{'lat': 44.9660484, 'lng': -93.0735521}"
17700_0,4,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,1410.0,,,210.0,"{'lat': 44.9497619, 'lng': -93.09306819999999}",Turn right onto 7th St E,"{'lat': 44.9559915, 'lng': -93.07814909999999}"
17700_0,5,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,219.0,,,63.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.9497619, 'lng': -93.09306819999999}"
17700_1,0,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,7523.0,806.0,494.0,Phalen Blvd and E 12th St,813.0,63.0,"{'lat': 44.981151, 'lng': -93.0380086}",Head west on Ivy Ave E toward Germain St,"{'lat': 44.98112949999999, 'lng': -93.03172939999999}"
17700_1,1,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,446.0,,,55.0,"{'lat': 44.9775408, 'lng': -93.0404434}",Turn left onto Prosperity Ave,"{'lat': 44.981151, 'lng': -93.0380086}"
17700_1,2,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,4750.0,,,383.0,"{'lat': 44.9612066, 'lng': -93.0897008}",Continue onto Phalen Blvd,"{'lat': 44.9775408, 'lng': -93.0404434}"
17700_1,3,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,367.0,,,37.0,"{'lat': 44.9579409, 'lng': -93.0900604}",Turn left onto Mississippi St,"{'lat': 44.9612066, 'lng': -93.0897008}"
17700_1,4,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,124.0,,,20.0,"{'lat': 44.9579816, 'lng': -93.0916384}",Turn right at the 1st cross street onto University Ave E,"{'lat': 44.9579409, 'lng': -93.0900604}"
17700_1,5,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,687.0,,,81.0,"{'lat': 44.952971, 'lng': -93.0962344}",Turn left onto E 12th St,"{'lat': 44.9579816, 'lng': -93.0916384}"
17700_1,6,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,655.0,,,167.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.952971, 'lng': -93.0962344}"
17700_2,0,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,9396.0,729.0,508.0,White Bear Ave and I-94 W,850.0,65.0,"{'lat': 44.9811248, 'lng': -93.0252707}",Head east on Ivy Ave E toward Kennard St N,"{'lat': 44.98112949999999, 'lng': -93.03172939999999}"
17700_2,1,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,3254.0,,,305.0,"{'lat': 44.9518616, 'lng': -93.02523769999999}",Turn right at the 3rd cross street onto White Bear AvePass by Subway (on the left in 2.0&nbsp;mi),"{'lat': 44.9811248, 'lng': -93.0252707}"
17700_2,2,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,4005.0,,,166.0,"{'lat': 44.95506990000001, 'lng': -93.0743191}",Turn right to merge onto I-94 W,"{'lat': 44.9518616, 'lng': -93.02523769999999}"
17700_2,3,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,1070.0,,,57.0,"{'lat': 44.9510634, 'lng': -93.0859988}",Take exit 242D on the left for 6th St,"{'lat': 44.95506990000001, 'lng': -93.0743191}"
17700_2,4,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,546.0,,,128.0,"{'lat': 44.9482234, 'lng': -93.09160589999999}",Continue onto 6th St E,"{'lat': 44.9510634, 'lng': -93.0859988}"
17700_2,5,5032,TAZ,1972,44.9808878804,-93.0317297817,44.948164,-93.09143399999999,"[44.9808878804, -93.0317297817]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,13.0,,,8.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.9482234, 'lng': -93.09160589999999}"
17701_3,0,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,6434.0,763.0,672.0,Phalen Blvd,758.0,128.0,"{'lat': 44.9754916, 'lng': -93.0431158}",Head south on Clarence St toward Ivy Ave E,"{'lat': 44.9815323, 'lng': -93.0431031}"
17701_3,1,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,2863.0,,,222.0,"{'lat': 44.9660484, 'lng': -93.0735521}",Turn right onto Phalen Blvd,"{'lat': 44.9754916, 'lng': -93.0431158}"
17701_3,2,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,1270.0,,,140.0,"{'lat': 44.9559915, 'lng': -93.07814909999999}",Turn left onto Payne Ave,"{'lat': 44.9660484, 'lng': -93.0735521}"
17701_3,3,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,1410.0,,,210.0,"{'lat': 44.9497619, 'lng': -93.09306819999999}",Turn right onto 7th St E,"{'lat': 44.9559915, 'lng': -93.07814909999999}"
17701_3,4,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,219.0,,,63.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.9497619, 'lng': -93.09306819999999}"
17701_4,0,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,7600.0,753.0,443.0,Maryland Ave E,736.0,62.0,"{'lat': 44.9775481, 'lng': -93.04309719999999}",Head south on Clarence St toward Ivy Ave E,"{'lat': 44.9815323, 'lng': -93.0431031}"
17701_4,1,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,1599.0,,,167.0,"{'lat': 44.9775277, 'lng': -93.06341069999999}",Turn right onto Maryland Ave E,"{'lat': 44.9775481, 'lng': -93.04309719999999}"
17701_4,2,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,2068.0,,,216.0,"{'lat': 44.9771064, 'lng': -93.0896638}",Continue straight to stay on Maryland Ave E,"{'lat': 44.9775277, 'lng': -93.06341069999999}"
17701_4,3,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,2070.0,,,95.0,"{'lat': 44.958709, 'lng': -93.09089759999999}",Turn left to merge onto I-35E S,"{'lat': 44.9771064, 'lng': -93.0896638}"
17701_4,4,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,583.0,,,30.0,"{'lat': 44.9535633, 'lng': -93.09073719999999}",Take exit 107A on the left for 10th St/Wacouta St,"{'lat': 44.958709, 'lng': -93.09089759999999}"
17701_4,5,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,403.0,,,75.0,"{'lat': 44.9513438, 'lng': -93.0946324}",Slight right onto 10th St E,"{'lat': 44.9535633, 'lng': -93.09073719999999}"
17701_4,6,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,434.0,,,108.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.9513438, 'lng': -93.0946324}"
17701_5,0,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,6862.0,773.0,672.0,Phalen Blvd and E 12th St,779.0,128.0,"{'lat': 44.9754916, 'lng': -93.0431158}",Head south on Clarence St toward Ivy Ave E,"{'lat': 44.9815323, 'lng': -93.0431031}"
17701_5,1,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,4357.0,,,340.0,"{'lat': 44.9612066, 'lng': -93.0897008}",Turn right onto Phalen Blvd,"{'lat': 44.9754916, 'lng': -93.0431158}"
17701_5,2,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,367.0,,,37.0,"{'lat': 44.9579409, 'lng': -93.0900604}",Turn left onto Mississippi St,"{'lat': 44.9612066, 'lng': -93.0897008}"
17701_5,3,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,124.0,,,20.0,"{'lat': 44.9579816, 'lng': -93.0916384}",Turn right at the 1st cross street onto University Ave E,"{'lat': 44.9579409, 'lng': -93.0900604}"
17701_5,4,5033,TAZ,1973,44.9815317945,-93.0432338029,44.948164,-93.09143399999999,"[44.9815317945, -93.0432338029]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,687.0,,,81.0,"{'lat': 44.952971, 'lng': -93.0962344}",Turn left onto E 12th St,"{'lat': 44.9579816, 'lng': -93.0916384}"
