,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
600_0,0,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,32903.0,1685.0,519.0,MN-77 N and I-35W N,3064.0,70.0,"{'lat': 44.7520399, 'lng': -93.222813}",Head east on Harwell Path toward Hannibal Cir,"{'lat': 44.7520576, 'lng': -93.22921529999999}"
600_0,1,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,739.0,,,65.0,"{'lat': 44.7586546, 'lng': -93.2228088}",Turn left onto Pennock Ave,"{'lat': 44.7520399, 'lng': -93.222813}"
600_0,2,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,579.0,,,41.0,"{'lat': 44.7596915, 'lng': -93.2159558}",Turn right onto McAndrews Rd,"{'lat': 44.7586546, 'lng': -93.2228088}"
600_0,3,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,15958.0,,,574.0,"{'lat': 44.8963267, 'lng': -93.2471257}",Turn left to merge onto MN-77 N/Cedar Ave,"{'lat': 44.7596915, 'lng': -93.2159558}"
600_0,4,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,2526.0,,,114.0,"{'lat': 44.8907305, 'lng': -93.2725198}",Take the exit onto MN-62 W,"{'lat': 44.8963267, 'lng': -93.2471257}"
600_0,5,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,462.0,,,21.0,"{'lat': 44.893992, 'lng': -93.27484849999999}",Take the Interstate 35W N exit,"{'lat': 44.8907305, 'lng': -93.2725198}"
600_0,6,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,5940.0,,,232.0,"{'lat': 44.9474051, 'lng': -93.2745923}",Merge onto I-35W N,"{'lat': 44.893992, 'lng': -93.27484849999999}"
600_0,7,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,1227.0,,,53.0,"{'lat': 44.9575393, 'lng': -93.2692862}",Keep left to stay on I-35W N,"{'lat': 44.9474051, 'lng': -93.2745923}"
600_0,8,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,1977.0,,,94.0,"{'lat': 44.9662997, 'lng': -93.2549178}",Keep right at the fork to stay on I-35W N,"{'lat': 44.9575393, 'lng': -93.2692862}"
600_0,9,600,TAZ,601,44.7520985433,-93.22921626770001,44.974573,-93.27035,"[44.7520985433, -93.22921626770001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",pessimistic,,,573.0,,,29.0,"{'lat': 44.97073289999999, 'lng': -93.2518953}",Take exit 17C for 3rd St toward U of M West Bank,"{'lat': 44.9662997, 'lng': -93.2549178}"
