,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
7700_0,0,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,8143.0,867.0,165.0,Cedar Lake Pkwy and I-394 E,721.0,33.0,"{'lat': 44.9519709, 'lng': -93.31655649999999}",Head west on W 28th St toward S Upton Ave,"{'lat': 44.95197599999999, 'lng': -93.3144619}"
7700_0,1,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,147.0,,,26.0,"{'lat': 44.9532031, 'lng': -93.31616149999999}",Turn right onto Dean Pkwy,"{'lat': 44.9519709, 'lng': -93.31655649999999}"
7700_0,2,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,78.0,,,15.0,"{'lat': 44.9531134, 'lng': -93.317144}",Turn left to stay on Dean Pkwy,"{'lat': 44.9532031, 'lng': -93.31616149999999}"
7700_0,3,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,2598.0,,,261.0,"{'lat': 44.969202, 'lng': -93.3214967}",Turn right onto Cedar Lake Pkwy,"{'lat': 44.9531134, 'lng': -93.317144}"
7700_0,4,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,144.0,,,19.0,"{'lat': 44.96995769999999, 'lng': -93.32041}",Turn right toward S Wayzata Blvd,"{'lat': 44.969202, 'lng': -93.3214967}"
7700_0,5,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,947.0,,,74.0,"{'lat': 44.9695257, 'lng': -93.30884189999999}",Turn right onto S Wayzata Blvd,"{'lat': 44.96995769999999, 'lng': -93.32041}"
7700_0,6,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,1382.0,,,75.0,"{'lat': 44.9734906, 'lng': -93.2932817}",Turn right to merge onto I-394 E,"{'lat': 44.9695257, 'lng': -93.30884189999999}"
7700_0,7,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,1139.0,,,52.0,"{'lat': 44.977141, 'lng': -93.2808041}",Keep left to stay on I-394 E,"{'lat': 44.9734906, 'lng': -93.2932817}"
7700_0,8,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,211.0,,,11.0,"{'lat': 44.9788585, 'lng': -93.2798224}",Take exit 9B toward Ramp B,"{'lat': 44.977141, 'lng': -93.2808041}"
7700_0,9,1366,TAZ,1367,44.9517298045,-93.3144600068,44.974573,-93.27035,"[44.9517298045, -93.3144600068]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,356.0,,,38.0,"{'lat': 44.980386, 'lng': -93.2759804}",Take the Ramp C ramp,"{'lat': 44.9788585, 'lng': -93.2798224}"
