,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
13800_0,0,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,16607.0,1167.0,253.0,MN-100 S and I-394 E,1291.0,55.0,"{'lat': 45.0287303, 'lng': -93.3841932}",Head east on Wisconsin Ave N toward Virginia Ave N,"{'lat': 45.0270861, 'lng': -93.3853171}"
13800_0,1,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,309.0,,,41.0,"{'lat': 45.02874000000001, 'lng': -93.3802621}",Turn right onto 40th Ave N,"{'lat': 45.0287303, 'lng': -93.3841932}"
13800_0,2,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,761.0,,,67.0,"{'lat': 45.0219005, 'lng': -93.3802982}",Turn right onto Winnetka Ave N,"{'lat': 45.02874000000001, 'lng': -93.3802621}"
13800_0,3,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,2436.0,,,219.0,"{'lat': 45.0212959, 'lng': -93.34943369999999}",Turn left onto 36th Ave N,"{'lat': 45.0219005, 'lng': -93.3802982}"
13800_0,4,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,4985.0,,,196.0,"{'lat': 44.9775182, 'lng': -93.3447209}",Turn right to merge onto MN-100 S,"{'lat': 45.0212959, 'lng': -93.34943369999999}"
13800_0,5,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,5181.0,,,225.0,"{'lat': 44.9734906, 'lng': -93.2932817}",Take the exit onto I-394 E,"{'lat': 44.9775182, 'lng': -93.3447209}"
13800_0,6,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,1139.0,,,52.0,"{'lat': 44.977141, 'lng': -93.2808041}",Keep left to stay on I-394 E,"{'lat': 44.9734906, 'lng': -93.2932817}"
13800_0,7,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,211.0,,,11.0,"{'lat': 44.9788585, 'lng': -93.2798224}",Take exit 9B toward Ramp B,"{'lat': 44.977141, 'lng': -93.2808041}"
13800_0,8,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,356.0,,,38.0,"{'lat': 44.980386, 'lng': -93.2759804}",Take the Ramp C ramp,"{'lat': 44.9788585, 'lng': -93.2798224}"
13800_0,9,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,706.0,,,190.0,"{'lat': 44.9767196, 'lng': -93.2687333}",Continue straight onto N 6th St,"{'lat': 44.980386, 'lng': -93.2759804}"
13800_0,10,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,270.0,,,73.0,"{'lat': 44.9746179, 'lng': -93.27044959999999}",Turn right onto 2nd Ave SDestination will be on the left,"{'lat': 44.9767196, 'lng': -93.2687333}"
13800_1,0,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,19132.0,1192.0,60.0,US-169 S and I-394 E,1413.0,12.0,"{'lat': 45.0270259, 'lng': -93.3860783}",Head west on Wisconsin Ave N toward Xylon Ave N,"{'lat': 45.0270861, 'lng': -93.3853171}"
13800_1,1,1132,TAZ,1133,45.027432542,-93.38537189350001,44.974573,-93.27035,"[45.027432542, -93.38537189350001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,375.0,,,51.0,"{'lat': 45.0279051, 'lng': -93.3904105}",Continue onto Hopewood Ln,"{'lat': 45.0270259, 'lng': -93.3860783}"
