,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
4100_0,0,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,31173.0,1540.0,370.0,I-394 E and I-94 E,2284.0,77.0,"{'lat': 44.95498629999999, 'lng': -93.419991}",Head northwest on Sumac Ln toward Cedar Hills Dr,"{'lat': 44.9563049, 'lng': -93.4167277}"
4100_0,1,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,66.0,,,15.0,"{'lat': 44.95499, 'lng': -93.42083000000001}",Turn right onto Cedar Hills Dr,"{'lat': 44.95498629999999, 'lng': -93.419991}"
4100_0,2,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,1562.0,,,118.0,"{'lat': 44.9690192, 'lng': -93.4205387}",Turn right onto Hopkins Crossroad,"{'lat': 44.95499, 'lng': -93.42083000000001}"
4100_0,3,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,10402.0,,,415.0,"{'lat': 44.9734906, 'lng': -93.2932817}",Turn right to merge onto I-394 E,"{'lat': 44.9690192, 'lng': -93.4205387}"
4100_0,4,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,17460.0,,,704.0,"{'lat': 44.9530369, 'lng': -93.0947276}",Take exit 8B to merge onto I-94 E,"{'lat': 44.9734906, 'lng': -93.2932817}"
4100_0,5,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,440.0,,,19.0,"{'lat': 44.9533266, 'lng': -93.0894333}","Keep right at the fork to stay on I-94 E, follow signs for US-10 E","{'lat': 44.9530369, 'lng': -93.0947276}"
4100_0,6,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,234.0,,,23.0,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}",Take exit 242C toward 7th St,"{'lat': 44.9533266, 'lng': -93.0894333}"
4100_0,7,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,150.0,,,44.0,"{'lat': 44.95061339999999, 'lng': -93.0865869}",Merge onto Wall St,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}"
4100_0,8,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,476.0,,,117.0,"{'lat': 44.9482234, 'lng': -93.09160589999999}",Turn right onto 6th St E,"{'lat': 44.95061339999999, 'lng': -93.0865869}"
4100_0,9,4100,TAZ,1040,44.9568034225,-93.4159386845,44.948164,-93.09143399999999,"[44.9568034225, -93.4159386845]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,13.0,,,8.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.9482234, 'lng': -93.09160589999999}"
