,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
4000_0,0,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,56723.0,2553.0,557.0,I-94 E,4302.0,43.0,"{'lat': 44.9681987, 'lng': -93.7267566}",Head north on Deer Creek Rd toward County Rd 26,"{'lat': 44.9631899, 'lng': -93.7268322}"
4000_0,1,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,4389.0,,,244.0,"{'lat': 44.9749059, 'lng': -93.67455149999999}",Turn right onto County Rd 26,"{'lat': 44.9681987, 'lng': -93.7267566}"
4000_0,2,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,2283.0,,,124.0,"{'lat': 44.9930074, 'lng': -93.66605299999999}",Turn left onto County Rd 110,"{'lat': 44.9749059, 'lng': -93.67455149999999}"
4000_0,3,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,2474.0,,,146.0,"{'lat': 44.9889259, 'lng': -93.63625599999999}",Turn right onto Watertown Rd,"{'lat': 44.9930074, 'lng': -93.66605299999999}"
4000_0,4,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,1572.0,,,85.0,"{'lat': 44.99184, 'lng': -93.6181002}",Continue onto 6th Ave N,"{'lat': 44.9889259, 'lng': -93.63625599999999}"
4000_0,5,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,13636.0,,,502.0,"{'lat': 44.9709191, 'lng': -93.4556005}",Turn right to merge onto US-12/Wayzata BlvdContinue to follow US-12,"{'lat': 44.99184, 'lng': -93.6181002}"
4000_0,6,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,13039.0,,,494.0,"{'lat': 44.9734906, 'lng': -93.2932817}",Continue onto I-394 E/US-12 E,"{'lat': 44.9709191, 'lng': -93.4556005}"
4000_0,7,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,17460.0,,,704.0,"{'lat': 44.9530369, 'lng': -93.0947276}",Take exit 8B to merge onto I-94 E,"{'lat': 44.9734906, 'lng': -93.2932817}"
4000_0,8,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,440.0,,,19.0,"{'lat': 44.9533266, 'lng': -93.0894333}","Keep right at the fork to stay on I-94 E, follow signs for US-10 E","{'lat': 44.9530369, 'lng': -93.0947276}"
4000_0,9,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,234.0,,,23.0,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}",Take exit 242C toward 7th St,"{'lat': 44.9533266, 'lng': -93.0894333}"
4000_0,10,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,150.0,,,44.0,"{'lat': 44.95061339999999, 'lng': -93.0865869}",Merge onto Wall St,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}"
4000_0,11,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,476.0,,,117.0,"{'lat': 44.9482234, 'lng': -93.09160589999999}",Turn right onto 6th St E,"{'lat': 44.95061339999999, 'lng': -93.0865869}"
4000_0,12,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,13.0,,,8.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn left onto Robert St NDestination will be on the left,"{'lat': 44.9482234, 'lng': -93.09160589999999}"
4000_1,0,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,71455.0,3375.0,1530.0,MN-7 E,5440.0,116.0,"{'lat': 44.9494357, 'lng': -93.7266343}",Head south on Deer Creek Rd toward Preserve Blvd,"{'lat': 44.9631899, 'lng': -93.7268322}"
4000_1,1,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,1610.0,,,86.0,"{'lat': 44.949397, 'lng': -93.7470873}",Turn right onto County Rd 15,"{'lat': 44.9494357, 'lng': -93.7266343}"
4000_1,2,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,5292.0,,,294.0,"{'lat': 44.9018117, 'lng': -93.74732200000001}",Turn left onto County Rd 92 S,"{'lat': 44.949397, 'lng': -93.7470873}"
4000_1,3,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,3659.0,,,182.0,"{'lat': 44.8908846, 'lng': -93.7050702}",Turn left onto MN-7 E,"{'lat': 44.9018117, 'lng': -93.74732200000001}"
4000_1,4,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,21750.0,,,1062.0,"{'lat': 44.9249309, 'lng': -93.4511993}","At the traffic circle, take the 2nd exit and stay on MN-7 E","{'lat': 44.8908846, 'lng': -93.7050702}"
4000_1,5,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,5083.0,,,194.0,"{'lat': 44.9661858, 'lng': -93.4601632}",Take the ramp onto I-494 N,"{'lat': 44.9249309, 'lng': -93.4511993}"
4000_1,6,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,13758.0,,,526.0,"{'lat': 44.9734906, 'lng': -93.2932817}",Take exit 19A to merge onto I-394 E/US-12 E toward Minneapolis,"{'lat': 44.9661858, 'lng': -93.4601632}"
4000_1,7,4000,TAZ,940,44.96319235479999,-93.72612023639999,44.948164,-93.09143399999999,"[44.96319235479999, -93.72612023639999]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,17460.0,,,704.0,"{'lat': 44.9530369, 'lng': -93.0947276}",Take exit 8B to merge onto I-94 E,"{'lat': 44.9734906, 'lng': -93.2932817}"
