,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
17800_0,0,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,10425.0,858.0,89.0,Shepard Rd,827.0,14.0,"{'lat': 44.902585, 'lng': -93.172108}",Head east on Field Ave toward S Davern St,"{'lat': 44.9025814, 'lng': -93.1732337}"
17800_0,1,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,649.0,,,114.0,"{'lat': 44.8967452, 'lng': -93.1721333}",Turn right onto S Davern St,"{'lat': 44.902585, 'lng': -93.172108}"
17800_0,2,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,2557.0,,,144.0,"{'lat': 44.9095422, 'lng': -93.14606479999999}",Turn left onto Shepard Rd,"{'lat': 44.8967452, 'lng': -93.1721333}"
17800_0,3,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,6381.0,,,392.0,"{'lat': 44.9457722, 'lng': -93.0855232}",Continue straight to stay on Shepard Rd,"{'lat': 44.9095422, 'lng': -93.14606479999999}"
17800_0,4,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,178.0,,,53.0,"{'lat': 44.9471317, 'lng': -93.0866728}",Turn left onto N Sibley St,"{'lat': 44.9457722, 'lng': -93.0855232}"
17800_0,5,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,257.0,,,55.0,"{'lat': 44.9457866, 'lng': -93.08928069999999}",Sharp left onto E Kellogg Blvd,"{'lat': 44.9471317, 'lng': -93.0866728}"
17800_0,6,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,314.0,,,86.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn right onto Robert St NDestination will be on the right,"{'lat': 44.9457866, 'lng': -93.08928069999999}"
17800_1,0,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,10155.0,830.0,89.0,7th St W/Fort Rd and I-35E N,839.0,14.0,"{'lat': 44.902585, 'lng': -93.172108}",Head east on Field Ave toward S Davern St,"{'lat': 44.9025814, 'lng': -93.1732337}"
17800_1,1,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,176.0,,,31.0,"{'lat': 44.9010036, 'lng': -93.1721106}",Turn right onto S Davern St,"{'lat': 44.902585, 'lng': -93.172108}"
17800_1,2,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,2766.0,,,258.0,"{'lat': 44.9158958, 'lng': -93.1441466}",Turn left onto 7th St W/Fort Rd,"{'lat': 44.9010036, 'lng': -93.1721106}"
17800_1,3,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,5592.0,,,265.0,"{'lat': 44.9464655, 'lng': -93.1046776}",Turn right to merge onto I-35E N,"{'lat': 44.9158958, 'lng': -93.1441466}"
17800_1,4,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,531.0,,,40.0,"{'lat': 44.9499675, 'lng': -93.1002795}",Take exit 106C for 11th St toward State Capitol,"{'lat': 44.9464655, 'lng': -93.1046776}"
17800_1,5,5132,TAZ,2072,44.902317205,-93.17323211290001,44.948164,-93.09143399999999,"[44.902317205, -93.17323211290001]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",best_guess,,,455.0,,,86.0,"{'lat': 44.9521728, 'lng': -93.0954332}",Continue onto E 11th St,"{'lat': 44.9499675, 'lng': -93.1002795}"
