,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
11600_0,0,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,78826.0,3318.0,2857.0,I-35E N,3479.0,109.0,"{'lat': 44.5728693, 'lng': -93.6246221}",Head south on Delmar Ave toward 245th St W,"{'lat': 44.5985519, 'lng': -93.6237438}"
11600_0,1,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,9442.0,,,506.0,"{'lat': 44.5725446, 'lng': -93.5054811}",Turn left onto 260th St W,"{'lat': 44.5728693, 'lng': -93.6246221}"
11600_0,2,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,11651.0,,,529.0,"{'lat': 44.5730392, 'lng': -93.3585208}","At the traffic circle, take the 2nd exit onto 260th St E","{'lat': 44.5725446, 'lng': -93.5054811}"
11600_0,3,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1575.0,,,101.0,"{'lat': 44.5730201, 'lng': -93.3386469}",Continue onto Main St,"{'lat': 44.5730392, 'lng': -93.3585208}"
11600_0,4,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,3302.0,,,151.0,"{'lat': 44.5732179, 'lng': -93.2969832}",Continue onto Co Hwy 2/260th St EContinue to follow Co Hwy 2,"{'lat': 44.5730201, 'lng': -93.3386469}"
11600_0,5,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,18392.0,,,595.0,"{'lat': 44.7366939, 'lng': -93.28323759999999}",Turn left to merge onto I-35 N toward Twin Cities,"{'lat': 44.5732179, 'lng': -93.2969832}"
11600_0,6,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,17522.0,,,565.0,"{'lat': 44.8554138, 'lng': -93.14728129999999}","Keep right at the fork to continue on I-35E N, follow signs for St Paul","{'lat': 44.7366939, 'lng': -93.28323759999999}"
11600_0,7,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,12553.0,,,500.0,"{'lat': 44.9464655, 'lng': -93.1046776}",Keep left to stay on I-35E N,"{'lat': 44.8554138, 'lng': -93.14728129999999}"
11600_0,8,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,531.0,,,40.0,"{'lat': 44.9499675, 'lng': -93.1002795}",Take exit 106C for 11th St toward State Capitol,"{'lat': 44.9464655, 'lng': -93.1046776}"
11600_0,9,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,455.0,,,86.0,"{'lat': 44.9521728, 'lng': -93.0954332}",Continue onto E 11th St,"{'lat': 44.9499675, 'lng': -93.1002795}"
11600_0,10,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,546.0,,,136.0,"{'lat': 44.9481263, 'lng': -93.091511}",Turn right onto Robert St NDestination will be on the left,"{'lat': 44.9521728, 'lng': -93.0954332}"
11600_1,0,5266,TAZ,2206,44.5985044025,-93.6188198914,44.948164,-93.09143399999999,"[44.5985044025, -93.6188198914]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,75716.0,3151.0,4961.0,US-169 N,3560.0,203.0,"{'lat': 44.6431617, 'lng': -93.6233161}",Head north on Delmar Ave toward 230th St W,"{'lat': 44.5985519, 'lng': -93.6237438}"
