,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
4500_0,0,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,23742.0,1471.0,866.0,I-94 E,1924.0,121.0,"{'lat': 44.9195472, 'lng': -93.29802649999999}",Head east on Lake Harriet Pkwy toward Morgan Ave S,"{'lat': 44.9152675, 'lng': -93.3062901}"
4500_0,1,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,1884.0,,,325.0,"{'lat': 44.91967030000001, 'lng': -93.2741046}",Turn right onto W 46th St,"{'lat': 44.9195472, 'lng': -93.29802649999999}"
4500_0,2,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,80.0,,,14.0,"{'lat': 44.9203897, 'lng': -93.2741411}",Turn left onto 2nd Ave S,"{'lat': 44.91967030000001, 'lng': -93.2741046}"
4500_0,3,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,370.0,,,27.0,"{'lat': 44.9236629, 'lng': -93.2745008}","Keep left, follow signs for I-35W","{'lat': 44.9203897, 'lng': -93.2741411}"
4500_0,4,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,2640.0,,,110.0,"{'lat': 44.9474051, 'lng': -93.2745923}",Merge onto I-35W N,"{'lat': 44.9236629, 'lng': -93.2745008}"
4500_0,5,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,1227.0,,,53.0,"{'lat': 44.9575393, 'lng': -93.2692862}",Keep left to stay on I-35W N,"{'lat': 44.9474051, 'lng': -93.2745923}"
4500_0,6,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,1671.0,,,80.0,"{'lat': 44.9656902, 'lng': -93.25862579999999}",Keep right at the fork to stay on I-35W N,"{'lat': 44.9575393, 'lng': -93.2692862}"
4500_0,7,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,13691.0,,,530.0,"{'lat': 44.9530369, 'lng': -93.0947276}",Take exit 16B to merge onto I-94 E toward St Paul,"{'lat': 44.9656902, 'lng': -93.25862579999999}"
4500_0,8,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,440.0,,,19.0,"{'lat': 44.9533266, 'lng': -93.0894333}","Keep right at the fork to stay on I-94 E, follow signs for US-10 E","{'lat': 44.9530369, 'lng': -93.0947276}"
4500_0,9,4500,TAZ,1440,44.9171404221,-93.3060515432,44.948164,-93.09143399999999,"[44.9171404221, -93.3060515432]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,234.0,,,23.0,"{'lat': 44.95173030000001, 'lng': -93.08765319999999}",Take exit 242C toward 7th St,"{'lat': 44.9533266, 'lng': -93.0894333}"
