,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
6400_0,0,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,37813.0,1867.0,448.0,US-10 E,1920.0,48.0,"{'lat': 45.2208733, 'lng': -93.40893609999999}",Head east on Lund Blvd,"{'lat': 45.2215481, 'lng': -93.4142502}"
6400_0,1,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,1002.0,,,105.0,"{'lat': 45.21292829999999, 'lng': -93.4129322}",Turn right onto Thurston Ave,"{'lat': 45.2208733, 'lng': -93.40893609999999}"
6400_0,2,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,12409.0,,,488.0,"{'lat': 45.1609701, 'lng': -93.28326539999999}",Turn left onto US-10 E/W Main StContinue to follow US-10 E,"{'lat': 45.21292829999999, 'lng': -93.4129322}"
6400_0,3,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,1884.0,,,67.0,"{'lat': 45.1465265, 'lng': -93.27084669999999}","Keep right at the fork to continue on MN-47 S/State Hwy 47 S, follow signs for MN-610/Minneapolis","{'lat': 45.1609701, 'lng': -93.28326539999999}"
6400_0,4,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,3540.0,,,124.0,"{'lat': 45.1266303, 'lng': -93.3009992}",Take the exit onto MN-610 W toward Minneapolis,"{'lat': 45.1465265, 'lng': -93.27084669999999}"
6400_0,5,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,1335.0,,,49.0,"{'lat': 45.1167212, 'lng': -93.3065671}",Take the MN-252 exit toward Minneapolis,"{'lat': 45.1266303, 'lng': -93.3009992}"
6400_0,6,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,5406.0,,,273.0,"{'lat': 45.0731098, 'lng': -93.2864797}",Continue onto MN-252 S,"{'lat': 45.1167212, 'lng': -93.3065671}"
6400_0,7,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,829.0,,,35.0,"{'lat': 45.0657001, 'lng': -93.2861628}","Keep left to stay on MN-252 S, follow signs for I-94 E/Minneapolis","{'lat': 45.0731098, 'lng': -93.2864797}"
6400_0,8,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,7246.0,,,250.0,"{'lat': 45.00159670000001, 'lng': -93.28282759999999}",Merge onto I-94 E,"{'lat': 45.0657001, 'lng': -93.2861628}"
6400_0,9,66,TAZ,67,45.2209315712,-93.41424091120001,44.974573,-93.27035,"[45.2209315712, -93.41424091120001]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",optimistic,,,2172.0,,,89.0,"{'lat': 44.984262, 'lng': -93.2772162}",Take exit 230 for 4th St N,"{'lat': 45.00159670000001, 'lng': -93.28282759999999}"
