,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
14700_0,0,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,14971.0,951.0,30.0,I-94 W,1136.0,6.0,"{'lat': 44.9444223, 'lng': -93.11608559999999}",Head east on Ashland Ave toward Western Ave N,"{'lat': 44.944421, 'lng': -93.1164726}"
14700_0,1,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,819.0,,,129.0,"{'lat': 44.9517836, 'lng': -93.11613369999999}",Turn left onto Western Ave N,"{'lat': 44.9444223, 'lng': -93.11608559999999}"
14700_0,2,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,877.0,,,83.0,"{'lat': 44.9521351, 'lng': -93.1272051}",Turn left onto St Anthony Ave,"{'lat': 44.9517836, 'lng': -93.11613369999999}"
14700_0,3,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,11575.0,,,481.0,"{'lat': 44.966035, 'lng': -93.2656607}",Slight left to merge onto I-94 W,"{'lat': 44.9521351, 'lng': -93.1272051}"
14700_0,4,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,712.0,,,54.0,"{'lat': 44.97025259999999, 'lng': -93.26945979999999}",Take exit 233A for 11th St,"{'lat': 44.966035, 'lng': -93.2656607}"
14700_0,5,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,75.0,,,12.0,"{'lat': 44.9707407, 'lng': -93.27011}",Merge onto E Grant St,"{'lat': 44.97025259999999, 'lng': -93.26945979999999}"
14700_0,6,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,111.0,,,23.0,"{'lat': 44.9712477, 'lng': -93.2713272}",Continue onto S 11th St,"{'lat': 44.9707407, 'lng': -93.27011}"
14700_0,7,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,500.0,,,86.0,"{'lat': 44.9751331, 'lng': -93.2681269}",Turn right onto 3rd Ave S,"{'lat': 44.9712477, 'lng': -93.2713272}"
14700_0,8,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,127.0,,,33.0,"{'lat': 44.97573999999999, 'lng': -93.269502}",Turn left onto S 7th St,"{'lat': 44.9751331, 'lng': -93.2681269}"
14700_0,9,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,145.0,,,44.0,"{'lat': 44.9746179, 'lng': -93.27044959999999}",Turn left at the 1st cross street onto 2nd Ave SDestination will be on the left,"{'lat': 44.97573999999999, 'lng': -93.269502}"
14700_1,0,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,16585.0,1425.0,30.0,I-94 W and 2nd St SE,1459.0,6.0,"{'lat': 44.9444223, 'lng': -93.11608559999999}",Head east on Ashland Ave toward Western Ave N,"{'lat': 44.944421, 'lng': -93.1164726}"
14700_1,1,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,819.0,,,129.0,"{'lat': 44.9517836, 'lng': -93.11613369999999}",Turn left onto Western Ave N,"{'lat': 44.9444223, 'lng': -93.11608559999999}"
14700_1,2,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,877.0,,,83.0,"{'lat': 44.9521351, 'lng': -93.1272051}",Turn left onto St Anthony Ave,"{'lat': 44.9517836, 'lng': -93.11613369999999}"
14700_1,3,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,8667.0,,,341.0,"{'lat': 44.9647419, 'lng': -93.229419}",Slight left to merge onto I-94 W,"{'lat': 44.9521351, 'lng': -93.1272051}"
14700_1,4,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,378.0,,,34.0,"{'lat': 44.9646515, 'lng': -93.2341874}",Take exit 235A for Riverside Ave toward 25th Ave,"{'lat': 44.9647419, 'lng': -93.229419}"
14700_1,5,2032,TAZ,2033,44.9443346578,-93.1164723897,44.974573,-93.27035,"[44.9443346578, -93.1164723897]","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis,"[44.974573, -93.27035]",best_guess,,,1053.0,,,158.0,"{'lat': 44.9695474, 'lng': -93.2456411}",Slight right onto Riverside Ave,"{'lat': 44.9646515, 'lng': -93.2341874}"
